round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.19911220678696046,0.9572072,1.068809986114502,0.265625,relu,128,0.5,10,20,1,50,sigmoid,binary_crossentropy,adam
10,0.2039373649491204,0.9542042,1.2040141820907593,0.265625,relu,128,0.5,10,20,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.5506170463633608,0.9279279,0.8240189552307129,0.265625,relu,128,0.5,10,20,5,10,sigmoid,binary_crossentropy,adam
10,0.6024734456617911,0.9496997,0.7647671699523926,0.265625,relu,128,0.5,10,20,5,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.23007605325531316,0.9542042,1.3459038734436035,0.265625,relu,128,0.5,10,20,5,50,sigmoid,binary_crossentropy,adam
10,0.28332020212580133,0.9542042,1.341240644454956,0.265625,relu,128,0.5,10,20,5,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.4401655164029863,0.8858859,1.0440328121185303,0.265625,relu,128,0.5,15,10,1,10,sigmoid,binary_crossentropy,adam
15,0.3585854005348217,0.9512012,1.1443092823028564,0.265625,relu,128,0.5,15,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.244688062785982,0.954955,1.1536312103271484,0.265625,relu,128,0.5,15,10,1,50,sigmoid,binary_crossentropy,adam
15,0.2141210316000758,0.9542042,1.4758167266845703,0.265625,relu,128,0.5,15,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.443181402153439,0.9481982,1.091402530670166,0.265625,relu,128,0.5,15,10,5,10,sigmoid,binary_crossentropy,adam
15,0.4409773719382358,0.9481982,1.108423113822937,0.265625,relu,128,0.5,15,10,5,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.27812058970824377,0.9542042,1.9514920711517334,0.265625,relu,128,0.5,15,10,5,50,sigmoid,binary_crossentropy,adam
15,0.21088837861298798,0.9534535,1.5271403789520264,0.265625,relu,128,0.5,15,10,5,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.2742128646946526,0.9451952,0.9868083000183105,0.265625,relu,128,0.5,15,20,1,10,sigmoid,binary_crossentropy,adam
15,0.3403806593325045,0.9391892,0.9597944021224976,0.265625,relu,128,0.5,15,20,1,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.15111720611204257,0.9564565,1.092212438583374,0.265625,relu,128,0.5,15,20,1,50,sigmoid,binary_crossentropy,adam
15,0.14986192486486635,0.954955,1.4949219226837158,0.265625,relu,128,0.5,15,20,1,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.4265837698011427,0.9264264,1.1050916910171509,0.265625,relu,128,0.5,15,20,5,10,sigmoid,binary_crossentropy,adam
15,0.37577561349482147,0.9534535,1.3346223831176758,0.265625,relu,128,0.5,15,20,5,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.17522349891003905,0.9534535,1.169151782989502,0.265625,relu,128,0.5,15,20,5,50,sigmoid,binary_crossentropy,adam
15,0.2446566830660488,0.954955,1.6550326347351074,0.265625,relu,128,0.5,15,20,5,50,sigmoid,sparse_categorical_crossentropy,adam
