round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,1.3785461895167828,0.78125,0.05630684953900306,0.975976,relu,12,0.0,10,24,4,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.6545812133699656,0.765625,0.06412800761569776,0.9767267,relu,12,0.0,10,24,4,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.4366354420781136,0.78125,0.058047619273205425,0.978979,relu,12,0.0,10,24,4,50,sigmoid,binary_crossentropy,adam
10,1.5516231823712587,0.75,0.060039651779915985,0.9782282,relu,12,0.0,10,24,4,50,sigmoid,binary_crossentropy,RMSprop
10,2.2450492288917303,0.765625,0.052861580472709065,0.9752252,relu,12,0.0,10,24,4,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.2024531550705433,0.796875,0.07047037618670131,0.9752252,relu,12,0.0,10,24,4,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.2851485311985016,0.421875,0.06579835143398864,0.9692192,relu,12,0.0,10,24,8,10,sigmoid,binary_crossentropy,adam
10,1.5435719564557076,0.796875,0.07512473166112155,0.9722222,relu,12,0.0,10,24,8,10,sigmoid,binary_crossentropy,RMSprop
10,2.084548659622669,0.765625,0.06163786759081943,0.9782282,relu,12,0.0,10,24,8,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.408846279606223,0.796875,0.07130398698568528,0.972973,relu,12,0.0,10,24,8,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.0741636734455824,0.796875,0.06060325209185615,0.9752252,relu,12,0.0,10,24,8,20,sigmoid,binary_crossentropy,adam
10,1.4229150377213955,0.78125,0.06498919446941628,0.9804805,relu,12,0.0,10,24,8,20,sigmoid,binary_crossentropy,RMSprop
10,1.6524640135467052,0.703125,0.0564203829811844,0.978979,relu,12,0.0,10,24,8,20,sigmoid,sparse_categorical_crossentropy,adam
10,1.6564851123839617,0.78125,0.06393567223818405,0.9782282,relu,12,0.0,10,24,8,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.6674005016684532,0.796875,0.06701641327959511,0.9744745,relu,12,0.0,10,24,8,30,sigmoid,binary_crossentropy,adam
10,1.363124780356884,0.78125,0.07028585231193311,0.975976,relu,12,0.0,10,24,8,30,sigmoid,binary_crossentropy,RMSprop
10,2.014066657051444,0.78125,0.055408388670576306,0.9722222,relu,12,0.0,10,24,8,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.488203251734376,0.75,0.07025656416303432,0.9767267,relu,12,0.0,10,24,8,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.5948543585836887,0.75,0.05319032072286784,0.9804805,relu,12,0.0,10,24,8,40,sigmoid,binary_crossentropy,adam
10,1.9893887676298618,0.796875,0.061251607609335165,0.975976,relu,12,0.0,10,24,8,40,sigmoid,binary_crossentropy,RMSprop
10,2.047832166776061,0.6875,0.049324905108421864,0.9812312,relu,12,0.0,10,24,8,40,sigmoid,sparse_categorical_crossentropy,adam
