average_neighbour_degree,betweenness_centrality,closeness_centrality,clustering,degree,degree_centrality,has_feedback_path,indegree,katz,load_centrality,outdegree,pagerank,xx_good_SN,xx_state_ff
1.0,0.0007314228373341674,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0007314228373341674,2.0,0.0012296124136447215,0.0,0.0
1.0,0.0009171293038288113,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0009171293038288113,2.0,0.0012296124136447215,0.0,0.0
1.0,0.0010474496311934736,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0010474496311934736,2.0,0.0012296124136447215,0.0,0.0
1.0,0.0011451898767169705,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0011451898767169705,2.0,0.0012296124136447215,0.0,0.0
1.0,0.0012494461386087002,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0012494461386087002,2.0,0.0012296124136447215,0.0,0.0
1.0,0.0013390413636719055,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0013390413636719055,2.0,0.0012296124136447215,0.0,0.0
1.0,0.0013781374618813042,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.0013781374618813042,2.0,0.0012296124136447215,0.0,0.0
0.5,0.005253538196887951,0.05966327525808762,0.0,4.0,0.005102040816326529,1.0,2.0,0.035884363664739544,0.005253538196887951,2.0,0.0070805339537341125,1.0,0.0
1.0,0.0014465556337477515,0.0057989690721649495,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587485912043575,0.001446555633747752,2.0,0.0012318081532441938,0.0,0.0
1.0,0.0015133448015221414,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0015133448015221414,2.0,0.0016758666837197965,0.0,0.0
1.0,0.0019271118409049444,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0019271118409049444,2.0,0.0016758666837197965,0.0,0.0
1.0,0.0022203325774754344,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0022203325774754344,2.0,0.0016758666837197965,0.0,0.0
1.0,0.0024402481299033024,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0024402481299033024,2.0,0.0016758666837197965,0.0,0.0
1.0,0.0026748247191596946,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0026748247191596946,2.0,0.0016758666837197965,0.0,0.0
1.0,0.0028784502306669797,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0028784502306669797,2.0,0.0016758666837197965,0.0,0.0
1.0,0.0029664164516381266,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.0029664164516381266,2.0,0.0016758666837197965,0.0,0.0
1.0,0.003116284828107488,0.006684068976427781,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.003116284828107489,2.0,0.0016766876762999616,0.0,0.0
1.0,0.002213816561107201,0.006772184011726239,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.002213816561107201,2.0,0.0018426854785213453,0.0,0.0
0.5,0.004947285427580994,0.057041421822790636,0.0,4.0,0.005102040816326529,1.0,2.0,0.035884395301637305,0.004947285427580994,2.0,0.005084119265711257,1.0,0.0
1.0,0.002855644173378164,0.006772184011726239,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.002855644173378164,2.0,0.0018426854785213453,0.0,0.0
1.0,0.003311765319154482,0.006772184011726239,0.16666666666666666,4.0,0.005102040816326529,1.0,2.0,0.03587551763660399,0.003311765319154482,2.0,0.0018426854785213453,0.0,0.0
