round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
5,0.31181432036283385,0.88448846,0.3112090007382996,0.9918367,elu,32,0.25,5,20,15,287,sigmoid,sparse_categorical_crossentropy,adam
5,0.5020342649865334,0.8448845,1.3356421227357826,0.6,elu,32,0.5,5,50,15,427,sigmoid,binary_crossentropy,adam
10,0.1399769540791464,0.93619365,0.6298961973920161,0.5632653,elu,10,0.25,10,20,15,217,sigmoid,binary_crossentropy,adam
1,0.6083382602834334,0.67766774,0.4218211537721206,0.922449,elu,32,0.5,1,20,5,77,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.2550455692364569,0.8822882,0.15427477256375915,0.9959184,elu,32,0.25,10,50,35,357,sigmoid,binary_crossentropy,adam
1,1.2729410398120113,0.87678766,0.642104367820584,0.9959184,relu,10,0.5,1,20,35,287,sigmoid,binary_crossentropy,RMSprop
10,0.1755443104554062,0.9240924,0.9373002280994337,0.5877551,elu,32,0.5,10,50,5,147,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.36900922816709847,0.8888889,0.12069610795196221,0.9959184,elu,10,0.25,10,20,35,7,sigmoid,binary_crossentropy,RMSprop
24,1.7908994827595697,0.8888889,0.0657882568787419,0.9959184,relu,10,0.0,24,50,35,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,1.1329387406704843,0.8118812,0.5655829935657735,0.9959184,elu,32,0.5,1,20,35,287,sigmoid,binary_crossentropy,RMSprop
10,0.4525399931324328,0.85148513,0.1972319367588783,0.9959184,elu,32,0.5,10,50,35,7,sigmoid,binary_crossentropy,RMSprop
10,0.17120734158784512,0.92519253,0.23940294749882757,0.8244898,relu,32,0.5,10,50,5,147,sigmoid,sparse_categorical_crossentropy,adam
10,0.1553381624634764,0.96039605,0.9440390619696403,0.6612245,elu,10,0.25,10,65,5,217,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.6655833346090957,0.85588557,0.7247878167094016,0.2734694,elu,10,0.5,1,50,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.43855364035458455,0.8668867,0.397957602447393,0.9959184,relu,32,0.25,1,35,15,357,sigmoid,binary_crossentropy,adam
5,0.18922283375027157,0.92629266,0.3039101620109714,0.75918365,relu,32,0.25,5,50,15,77,sigmoid,sparse_categorical_crossentropy,RMSprop
