round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
5,0.06386515031645604,0.9770642,1.9897451475262642,0.328125,elu,10,0.0,5,20,15,7,sigmoid,binary_crossentropy,adam
1,0.22280360925088236,0.9550459,0.9173913598060608,0.390625,relu,32,0.0,1,35,5,217,sigmoid,binary_crossentropy,adam
1,0.49845377540369645,0.9330275,1.0284066796302795,0.265625,relu,32,0.5,1,65,5,147,sigmoid,binary_crossentropy,RMSprop
10,0.05853991878577807,0.98073393,0.6380763649940491,0.796875,elu,32,0.0,10,20,5,77,sigmoid,binary_crossentropy,adam
10,0.44739305203387497,0.92201835,2.732741355895996,0.265625,elu,32,0.0,10,50,35,427,sigmoid,binary_crossentropy,RMSprop
5,0.474644609110071,0.9330275,0.9608820378780365,0.265625,relu,32,0.5,5,50,15,7,sigmoid,binary_crossentropy,RMSprop
5,0.3843011117975923,0.94587153,0.6668509412556887,0.75,relu,10,0.5,5,20,15,147,sigmoid,binary_crossentropy,RMSprop
1,0.2608864559373982,0.9036697,0.8667209781706333,0.3125,elu,10,0.25,1,20,5,427,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.046623338747969055,0.98165137,1.343836447224021,0.765625,elu,10,0.0,24,20,5,77,sigmoid,sparse_categorical_crossentropy,adam
10,0.27748124755987336,0.94862384,2.147239215672016,0.265625,relu,10,0.5,10,20,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.09990692268309415,0.9623853,3.1200231313705444,0.265625,elu,32,0.0,5,35,5,427,sigmoid,binary_crossentropy,RMSprop
1,0.4653101874686299,0.8889908,1.0528058409690857,0.265625,elu,32,0.5,1,35,15,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.3982096878179443,0.9330275,1.0986365601420403,0.265625,relu,10,0.5,1,20,5,77,sigmoid,binary_crossentropy,adam
1,0.17118245814414268,0.94678897,0.8575957715511322,0.796875,elu,32,0.0,1,35,15,77,sigmoid,sparse_categorical_crossentropy,adam
5,0.048125313730673025,0.98073393,1.2168829129077494,0.71875,relu,10,0.0,5,50,15,147,sigmoid,binary_crossentropy,adam
5,0.08743024416472932,0.9605505,1.5393229722976685,0.5625,relu,32,0.0,5,50,15,287,sigmoid,sparse_categorical_crossentropy,adam
5,0.08088811393998085,0.9706422,1.0317082405090332,0.734375,elu,32,0.0,5,65,35,7,sigmoid,binary_crossentropy,adam
24,0.05854238057135254,0.98440367,1.5196347031742334,0.734375,elu,10,0.0,24,50,35,7,sigmoid,binary_crossentropy,RMSprop
10,0.16768909932515763,0.9495413,1.5491334199905396,0.265625,relu,32,0.5,10,20,5,357,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.3522741008857521,0.9321101,1.0720816254615784,0.265625,elu,32,0.5,5,50,15,147,sigmoid,binary_crossentropy,RMSprop
24,0.38536958201427424,0.93669724,3.3140144497156143,0.25,elu,10,0.5,24,50,15,287,sigmoid,binary_crossentropy,RMSprop
5,0.5036211891458668,0.9495413,0.8561208304017782,0.265625,relu,10,0.0,5,50,35,7,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.16181859082967046,0.96330273,1.1887336540967226,0.5625,relu,10,0.5,10,35,5,287,sigmoid,binary_crossentropy,RMSprop
5,0.09016974169008256,0.9669725,1.3601913452148438,0.75,elu,32,0.0,5,20,15,147,sigmoid,binary_crossentropy,RMSprop
